Year,Maize_Production,Rice_Production,Yams_Production,Wheat_Production,Tomatoes_Production,Tea_Production,Sweet_potatoes_Production,Sunflower_seed_Production,Sugar_cane_Production,Soybeans_Production,Rye_Production,Potatoes_Production,Oranges_Production,"Peas,_dry_Production",Palm_oil_Production,Grapes_Production,"Coffee,_green_Production",Cocoa_beans_Production,"Meat,_chicken_Production",Bananas_Production,Avocados_Production,Apples_Production
1961,7356539.0,21596584.0,2299906.0,21270709.0,2866453.0,135484.0,4935161.0,1463849.0,56044282.0,7746600.0,1662337.0,11243848.0,1945469.0,526487.0,1273359.0,3470680.0,274269.0,161367.0,1354976.0,2176177.0,125073.0,2703243.0
1962,7332018.0,19570775.0,2144933.0,22339436.0,2923711.0,126906.0,5088776.0,1296562.0,55687909.0,8674844.0,1584642.0,11577596.0,2394812.0,559806.0,1207171.0,3271495.0,293018.0,170438.0,1391808.0,2205607.0,119384.0,3025254.0
1963,7913461.0,20161263.0,2357439.0,21448549.0,2958163.0,125809.0,4785305.0,1386105.0,53340109.0,9215512.0,1520728.0,11097657.0,2537382.0,544353.0,1170024.0,3262478.0,275006.0,189546.0,1426576.0,2202203.0,131177.0,2561339.0
1964,7763330.0,19088952.0,2119693.0,21656796.0,2397925.0,122906.0,5108050.0,1285086.0,53223383.0,7518338.0,1660269.0,12169000.0,2477946.0,604906.0,1070153.0,3018985.0,273350.0,194798.0,1459640.0,2512190.0,119661.0,2498017.0
1965,8140372.0,20225919.0,2456715.0,22126876.0,2273068.0,124101.0,4967276.0,1275731.0,50417723.0,6312218.0,1584287.0,12188578.0,2543456.0,681056.0,841767.0,3193841.0,266405.0,188444.0,1461116.0,2482859.0,135415.0,2504122.0
1966,8819584.0,19259430.0,2274611.0,17633681.0,1916750.0,124657.0,4758761.0,1047435.0,55896059.0,7705772.0,1701569.0,9985883.0,2216570.0,649430.0,986981.0,2697152.0,273460.0,219522.0,983315.0,2447822.0,125480.0,2001386.0
1967,9733344.0,20404695.0,2250876.0,19140510.0,1932995.0,129003.0,4976769.0,1207103.0,53900801.0,7696796.0,1818668.0,9898575.0,2424674.0,740756.0,967702.0,2898941.0,228796.0,200609.0,1014533.0,2385250.0,127991.0,2151255.0
1968,9172520.0,20676119.0,2541136.0,19630478.0,1764092.0,120747.0,5486024.0,1110548.0,46855663.0,6292152.0,1542172.0,10309134.0,2428321.0,726330.0,996622.0,3092882.0,248732.0,224804.0,1047183.0,2566070.0,133023.0,2603356.0
1969,9681684.0,19586065.0,2414038.0,20734906.0,1816408.0,118126.0,5075581.0,1302423.0,44300211.0,6215305.0,1800778.0,10422775.0,2181229.0,730324.0,1250166.0,3025507.0,284460.0,212030.0,1068341.0,2600023.0,111704.0,2545206.0
1970,9478056.0,19965674.0,2360934.0,20778559.0,1929878.0,126699.0,4810725.0,1143993.0,42691859.0,6472645.0,1697633.0,9947172.0,2168643.0,633553.0,1102608.0,2763871.0,313323.0,203941.0,852656.0,2672191.0,118021.0,2640579.0
1971,11112614.0,20839151.0,2689959.0,21330873.0,1713664.0,118871.0,4732464.0,1256017.0,45153974.0,6854682.0,1952135.0,9169154.0,2226870.0,634802.0,962668.0,2977387.0,283767.0,207456.0,881624.0,2708932.0,116448.0,2750014.0
1972,10924033.0,19762817.0,2779063.0,20817074.0,1898017.0,113437.0,4995409.0,1384219.0,43119814.0,6430999.0,1956604.0,9904345.0,2241845.0,657114.0,972716.0,2749574.0,246621.0,189966.0,907482.0,2680957.0,123597.0,2779127.0
1973,11262618.0,19602467.0,2468550.0,20182740.0,1765894.0,117222.0,4948237.0,1248509.0,43273730.0,6770010.0,1852374.0,8796928.0,2088158.0,613877.0,1056869.0,2463136.0,301551.0,209628.0,835450.0,2605745.0,126309.0,2837015.0
1974,10886263.0,20853158.0,2589286.0,20745424.0,2002061.0,111378.0,4914809.0,1453700.0,47504448.0,5938776.0,1967002.0,9451657.0,2127437.0,649445.0,1326895.0,2750078.0,308377.0,216845.0,792826.0,2782844.0,127715.0,2912164.0
1975,12117516.0,20353796.0,2568132.0,19190174.0,1904280.0,111204.0,4789432.0,1479484.0,44996349.0,5831127.0,1840435.0,9314542.0,2161722.0,664434.0,1284769.0,3027954.0,313555.0,235078.0,823789.0,2950236.0,123419.0,2962362.0
1976,12470683.0,20654885.0,2888627.0,20740458.0,2005275.0,115075.0,4565556.0,1247478.0,46118282.0,6196786.0,1845102.0,8822521.0,1923757.0,586053.0,926218.0,2972063.0,329755.0,260955.0,850511.0,2932405.0,119373.0,3207989.0
1977,13066220.0,21087832.0,2479020.0,21254454.0,2069680.0,116212.0,4385942.0,1421413.0,42838592.0,5349524.0,1796396.0,9127618.0,1724334.0,582906.0,1103667.0,3293622.0,327255.0,246588.0,875825.0,2959179.0,126903.0,3089139.0
1978,13784628.0,19197362.0,2902933.0,22137682.0,2070475.0,118809.0,4460413.0,1593320.0,44102209.0,5276902.0,1879501.0,8613793.0,1728067.0,556496.0,1359382.0,3582253.0,283351.0,283661.0,792619.0,2612861.0,127580.0,3726042.0
